club,season,opponent,source_url,published_at,relation_type,fact_type,subject,value,confidence,score,match_date,notes
Topór Tenczyn,2016/17,Lubomir Wiśniowa,https://gdoviagdow.futbolowo.pl/game/465809/topor-tenczyn-vs-lubomir-wisniowa,,post_match,opening_goal_scorer,,Robert Michalak,0.99,3:1,2016-08-14,Robert Michalak otworzył wynik w 40 minucie
Topór Tenczyn,2016/17,Lubomir Wiśniowa,https://gdoviagdow.futbolowo.pl/game/465809/topor-tenczyn-vs-lubomir-wisniowa,,post_match,brace_scorer,,Robert Michalak,0.99,3:1,2016-08-14,Robert Michalak zdobył dwie bramki w 40 i 57 minucie
Topór Tenczyn,2016/17,Lubomir Wiśniowa,https://gdoviagdow.futbolowo.pl/game/465809/topor-tenczyn-vs-lubomir-wisniowa,,post_match,captain,,Krzysztof Dziadkowiec,0.99,3:1,2016-08-14,Karta meczu oznacza Krzysztofa Dziadkowca jako kapitana Toporu
Lubomir Wiśniowa,2016/17,Topór Tenczyn,https://gdoviagdow.futbolowo.pl/game/465809/topor-tenczyn-vs-lubomir-wisniowa,,post_match,assist,Łukasz Rokosz,Marek Łacny,0.99,3:1,2016-08-14,Marek Łacny asystował przy bramce Łukasza Rokosza
Lubomir Wiśniowa,2016/17,Topór Tenczyn,https://gdoviagdow.futbolowo.pl/game/465809/topor-tenczyn-vs-lubomir-wisniowa,,post_match,captain,,Łukasz Rokosz,0.99,3:1,2016-08-14,Karta meczu oznacza Łukasza Rokosza jako kapitana Lubomira
Topór Tenczyn,2016/17,Orzeł Nowa Wieś,https://zzz.futbolowo.pl/game/583922/topor-tenczyn-vs-orzel-nowa-wies,,post_match,opening_goal_scorer,,Krzysztof Dziadkowiec,0.99,2:0,2017-04-09,Krzysztof Dziadkowiec otworzył wynik w 59 minucie
Topór Tenczyn,2016/17,Orzeł Nowa Wieś,https://zzz.futbolowo.pl/game/583922/topor-tenczyn-vs-orzel-nowa-wies,,post_match,assist,Krzysztof Dziadkowiec,Daniel Flaga,0.99,2:0,2017-04-09,Daniel Flaga asystował przy pierwszej bramce
Topór Tenczyn,2016/17,Orzeł Nowa Wieś,https://zzz.futbolowo.pl/game/583922/topor-tenczyn-vs-orzel-nowa-wies,,post_match,assist,Tomasz Bajak,Robert Michalak,0.99,2:0,2017-04-09,Robert Michalak asystował przy golu Tomasza Bajaka
Topór Tenczyn,2016/17,Orzeł Nowa Wieś,https://zzz.futbolowo.pl/game/583922/topor-tenczyn-vs-orzel-nowa-wies,,post_match,captain,,Krzysztof Dziadkowiec,0.99,2:0,2017-04-09,Karta meczu oznacza Krzysztofa Dziadkowca jako kapitana Toporu
Topór Tenczyn,2016/17,Rokita Kornatka,https://mlodzik.radom.pl/game/583927/rokita-kornatka-vs-topor-tenczyn,,post_match,assist,Robert Michalak,Marcin Rekucki,0.99,1:4,2017-04-15,Marcin Rekucki asystował przy golu Roberta Michalaka w 48 minucie
Topór Tenczyn,2016/17,Rokita Kornatka,https://mlodzik.radom.pl/game/583927/rokita-kornatka-vs-topor-tenczyn,,post_match,assist,Grzegorz Matlak,Robert Michalak,0.99,1:4,2017-04-15,Robert Michalak asystował przy golu Grzegorza Matlaka w 60 minucie
Rokita Kornatka,2016/17,Wrzosy Osieczany,https://mks-olimpiakolo.futbolowo.pl/player/25242/career,,post_match,brace_scorer,,Rafał Budzowski,0.96,5:0,2016-09-18,Archiwum kariery Futbolowo oznacza dwa gole Rafała Budzowskiego w zwycięstwie 5:0
Rokita Kornatka,2016/17,Beskid Tokarnia,https://mks-olimpiakolo.futbolowo.pl/player/26991/career,,post_match,brace_scorer,,Adam Piwowarczyk,0.96,4:3,2017-05-07,Archiwum kariery Futbolowo oznacza dwa gole Adama Piwowarczyka w zwycięstwie 4:3
Rokita Kornatka,2016/17,Dziecanovia Dziekanowice,https://mks-olimpiakolo.futbolowo.pl/player/25239/career,,post_match,brace_scorer,,Wojciech Piwowarczyk,0.96,3:3,2017-05-21,Archiwum kariery Futbolowo oznacza dwa gole Wojciecha Piwowarczyka w remisie 3:3
Rokita Kornatka,2016/17,Lubomir Wiśniowa,https://mks-olimpiakolo.futbolowo.pl/player/26991/career,,post_match,hat_trick_scorer,,Adam Piwowarczyk,0.96,1:6,2017-06-11,Archiwum kariery Futbolowo oznacza trzy gole Adama Piwowarczyka w zwycięstwie Rokity 6:1
Rokita Kornatka,2016/17,Jordan Sum Zakliczyn,https://mks-olimpiakolo.futbolowo.pl/player/168254/career,,post_match,brace_scorer,,Sławomir Piszczek,0.96,4:2,2017-06-03,Archiwum kariery Futbolowo oznacza dwa gole Sławomira Piszczka w zwycięstwie 4:2
