club,season,opponent,source_url,published_at,relation_type,fact_type,subject,value,confidence,score,match_date,notes
Dziecanovia Dziekanowice,2021/22,Clavia Świątniki Górne,https://dziecanovia.futbolowo.pl/game/1040940,,post_match,hat_trick_scorer,,Sylwester Łyżczarz,0.98,4:4,2021-08-07,Sylwester Łyżczarz zdobył trzy bramki w 15 26 i 50 minucie
Dziecanovia Dziekanowice,2021/22,Clavia Świątniki Górne,https://dziecanovia.futbolowo.pl/game/1040940,,post_match,captain,,Sylwester Łyżczarz,0.98,4:4,2021-08-07,Sylwester Łyżczarz był kapitanem Dziecanovii
Dziecanovia Dziekanowice,2021/22,Clavia Świątniki Górne,https://dziecanovia.futbolowo.pl/game/1040940,,post_match,attendance,,150,0.98,4:4,2021-08-07,Karta meczu podaje 150 widzów
Dziecanovia Dziekanowice,2021/22,Górki Myślenice,https://dziecanovia.futbolowo.pl/game/1040997/dziecanovia-dziekanowice-vs-gorki-myslenice,,post_match,own_goal,,Łukasz Wilk,0.98,2:3,2021-09-18,Łukasz Wilk zanotował bramkę samobójczą w 48 minucie
Dziecanovia Dziekanowice,2021/22,Górki Myślenice,https://dziecanovia.futbolowo.pl/game/1040997/dziecanovia-dziekanowice-vs-gorki-myslenice,,post_match,captain,,Sylwester Łyżczarz,0.98,2:3,2021-09-18,Sylwester Łyżczarz był kapitanem Dziecanovii
Dziecanovia Dziekanowice,2021/22,Górki Myślenice,https://dziecanovia.futbolowo.pl/game/1040997/dziecanovia-dziekanowice-vs-gorki-myslenice,,post_match,attendance,,50,0.98,2:3,2021-09-18,Karta meczu podaje 50 widzów
Dziecanovia Dziekanowice,2021/22,Beskid Tokarnia,https://dziecanovia.futbolowo.pl/game/1041015/dziecanovia-dziekanowice-vs-beskid-tokarnia,,post_match,substitute_brace_scorer,,Sylwester Łyżczarz,0.98,7:0,2021-10-02,Sylwester Łyżczarz wszedł z ławki w 41 minucie i zdobył gole w 52 i 72 minucie
Dziecanovia Dziekanowice,2021/22,Beskid Tokarnia,https://dziecanovia.futbolowo.pl/game/1041015/dziecanovia-dziekanowice-vs-beskid-tokarnia,,post_match,captain,,Kacper Winiarski,0.98,7:0,2021-10-02,Kacper Winiarski był kapitanem Dziecanovii
Dziecanovia Dziekanowice,2021/22,Beskid Tokarnia,https://dziecanovia.futbolowo.pl/game/1041015/dziecanovia-dziekanowice-vs-beskid-tokarnia,,post_match,attendance,,100,0.98,7:0,2021-10-02,Karta meczu podaje 100 widzów
Dziecanovia Dziekanowice,2021/22,Gościbia Sułkowice,https://dziecanovia.futbolowo.pl/game/1041046/dziecanovia-dziekanowice-vs-goscibia-sulkowice,,post_match,captain,,Sylwester Łyżczarz,0.98,2:3,2021-10-31,Sylwester Łyżczarz był kapitanem Dziecanovii
Dziecanovia Dziekanowice,2021/22,Gościbia Sułkowice,https://dziecanovia.futbolowo.pl/game/1041046/dziecanovia-dziekanowice-vs-goscibia-sulkowice,,post_match,attendance,,100,0.98,2:3,2021-10-31,Karta meczu podaje 100 widzów
